date,instrument,r_brut,r_net,ratio_vise,stop_bps,frais_bps,duree_barres,issue,gain_eur,capital
2026-08-19 22:36,BTC-USD,-0.473,-0.491,1.62,549.7,10.0,45,sl,-4.91,995.09
2026-08-19 22:36,SOL-USD,-0.639,-0.663,1.62,405.5,10.0,11,sl,-6.6,988.49
2026-08-27 03:06,HG=F,1.893,1.887,1.89,255.6,1.5,4,tp,18.66,1007.15
2026-08-29 03:41,AUDNZD=X,-0.664,-0.709,2.59,48.8,2.2,12,sl,-7.14,1000.01
2026-08-29 03:41,PA=F,1.618,1.614,1.62,393.6,1.5,8,tp,16.14,1016.15
2026-08-29 03:41,ZF=F,2.163,2.131,2.16,31.5,1.0,17,tp,21.65,1037.8
2026-09-02 00:04,CL=F,0.053,0.051,2.94,850.1,1.5,28,sl,0.53,1038.33
2026-09-02 00:04,ZB=F,2.346,2.333,2.35,73.8,1.0,9,tp,24.22,1062.55
2026-09-03 00:09,USDCHF=X,1.618,1.609,1.62,109.8,1.0,10,tp,17.09,1079.64
2026-09-03 00:09,GBPCAD=X,0.218,0.172,3.57,47.7,2.2,25,sl,1.86,1081.5
2026-09-03 00:09,NZDCAD=X,-0.984,-1.013,1.62,77.3,2.2,15,sl,-10.95,1070.55
2026-09-03 00:09,KC=F,-1.0,-1.004,1.62,819.0,3.0,1,sl,-10.74,1059.81
2026-09-04 23:59,EURCAD=X,2.738,2.688,2.74,43.4,2.2,24,tp,28.48,1088.29
2026-09-04 23:59,ZB=F,2.346,2.333,2.35,73.8,1.0,12,tp,25.39,1113.68
2026-09-08 00:17,GBPJPY=X,1.723,1.709,1.72,154.7,2.2,18,tp,19.03,1132.71
